Order ID,ship-city,ship-state,ship-postal-code,ship-country
404-8924840-1497908,1,UTTARAKHAND,248001,IN
171-4059595-6237149,(Chikmagalur disterict).     (N.R pur thaluku),KARNATAKA,577136,IN
406-5480144-6829925,"(Via Cuncolim)Quepem,South Goa",GOA,403703,IN
405-9197558-5977110,",HYDERABAD",TELANGANA,500038,IN
408-2391847-7249162,",raibarely road faizabad (Ayodhya)",UTTAR PRADESH,224001,IN
405-4670277-3653952,..katra,JAMMU & KASHMIR,182301,IN
402-5721171-6991533,.azamgarh,UTTAR PRADESH,276001,IN
407-0046769-1004350,"116  B. P. M. B SARANI, UTTARPARA KOTRUNG",WEST BENGAL,712232,IN
408-1461224-0924305,147/19 B Keshab Chandra Sen Street Kolkata nine ma,WEST BENGAL,700009,IN
402-3181741-9755513,6th mile tadong,SIKKIM,737102,IN
403-2317478-1334753,7BARASAT,WEST BENGAL,700124,IN
171-5348080-7305151,à¤²à¤–à¤¨à¤Š,UTTAR PRADESH,226002,IN
403-7607896-9494718,Aalo,ARUNACHAL PRADESH,791001,IN
404-5305319-5087558,AAMBY VALLEY,MAHARASHTRA,410401,IN
406-2065931-0346701,AAMBY VALLEY,MAHARASHTRA,410401,IN
407-0961867-9544305,AAMBY VALLEY,MAHARASHTRA,410401,IN
408-3305422-4509139,Abhayapuri,ASSAM,783384,IN
407-0819794-4995518,ABHAYAPURI,ASSAM,783384,IN
402-5521410-4606713,"ABHAYAPURI, Bongaigaon",ASSAM,783384,IN
403-2127889-5950737,ABOHAR,PUNJAB,152116,IN
403-8911433-9770724,Abohar,PUNJAB,152116,IN
406-2503581-8001949,Abohar,PUNJAB,152116,IN
407-4320419-5521967,ABOHAR,PUNJAB,152116,IN
405-7596517-8068361,ABU ROAD,RAJASTHAN,307026,IN
404-3061778-2231507,ABU ROAD,RAJASTHAN,307026,IN
408-2098982-1147508,ABU ROAD,RAJASTHAN,307026,IN
403-9743672-5602733,ABU ROAD,RAJASTHAN,307026,IN
171-2230624-4218706,ABU ROAD,RAJASTHAN,307510,IN
402-5300306-7260308,ABU ROAD,RAJASTHAN,307026,IN
403-8939240-8017908,Aburoad,RAJASTHAN,307026,IN
408-8976027-4515555,ACHALPUR,MAHARASHTRA,444806,IN
404-1766794-3313167,ACHAMPET,TELANGANA,509375,IN
171-2874800-2633129,ACHAMPET,TELANGANA,509375,IN
405-2433728-5461135,ACHAMPET,TELANGANA,509375,IN
171-6824423-5445930,ACHAMPET,TELANGANA,509375,IN
405-2156230-6853945,ACHAMPET,TELANGANA,509375,IN
405-2156230-6853945,ACHAMPET,TELANGANA,509375,IN
404-1641864-6092350,ACHANTA,ANDHRA PRADESH,534123,IN
171-2396919-3262700,"Adajan Gam, Surat",Gujarat,395009,IN
408-0420377-1502749,ADALAJ,Gujarat,382421,IN
403-1607179-3970706,ADALAJ,Gujarat,382421,IN
406-9832719-2815540,ADALAJ,Gujarat,382421,IN
404-0585668-7605924,ADALAJ,Gujarat,382421,IN
406-4121271-9465913,ADALAJ,Gujarat,382421,IN
406-4121271-9465913,ADALAJ,Gujarat,382421,IN
406-0688050-8167557,ADALAJ,Gujarat,382421,IN
171-0505466-9769958,ADALAJ,Gujarat,382421,IN
171-3699026-3507510,ADALAJ,Gujarat,382421,IN
408-0301697-8271523,ADALAJ,Gujarat,382421,IN
407-3506246-0971563,ADALAJ,Gujarat,382421,IN
408-7515873-3892326,ADALAJ,Gujarat,382421,IN
404-9036657-1167566,ADALAJ,Gujarat,382421,IN
402-0928590-0253160,ADALAJ,Gujarat,382421,IN
402-0616139-3201965,ADALAJ,Gujarat,382421,IN
408-5757795-5877131,ADALAJ,Gujarat,382421,IN
171-5324837-6928332,ADALAJ,Gujarat,382421,IN
403-6152948-5630718,ADALAJ,Gujarat,382421,IN
171-7610330-8181159,ADALAJ,Gujarat,382421,IN
405-4093941-6301939,ADALAJ,Gujarat,382421,IN
406-1867930-6953918,ADALAJ,Gujarat,382421,IN
405-9779208-7508349,ADALAJ,Gujarat,382421,IN
403-5951833-6803504,ADALAJ,Gujarat,382421,IN
406-3220067-0117939,Adambakkam,TAMIL NADU,600088,IN
408-7793080-5013131,ADAMPUR,PUNJAB,144102,IN
406-8495600-5227500,ADAMPUR,PUNJAB,144102,IN
402-7780555-9142724,ADAMPUR,HARYANA,125052,IN
408-8291957-6692314,ADAMPUR,PUNJAB,144102,IN
408-6629457-1726755,ADAMPUR,PUNJAB,144102,IN
408-3647088-7793150,ADAMPUR,PUNJAB,144102,IN
407-2059243-8741102,ADAPUR,BIHAR,845301,IN
407-8667380-4864362,ADAPUR,BIHAR,845301,IN
405-5858565-7706728,"Adarsh Nagar, Jaipur",RAJASTHAN,302004,IN
407-8107713-1221109,ADBHAR,CHHATTISGARH,495695,IN
407-5823534-5875502,ADBHAR,CHHATTISGARH,495695,IN
407-4082394-1763517,ADBHAR,CHHATTISGARH,495695,IN
408-4163402-6846741,ADDAKAL,TELANGANA,509382,IN
